2011 DEC,4.2
2012 JAN,3.6
2012 FEB,3.4
2012 MAR,3.5
2012 APR,3
2012 MAY,2.8
2012 JUN,2.4
2012 JUL,2.6
2012 AUG,2.5
2012 SEP,2.2
2012 OCT,2.7
2012 NOV,2.7
2012 DEC,2.7
2013 JAN,2.7
2013 FEB,2.8
2013 MAR,2.8
2013 APR,2.4
2013 MAY,2.7
2013 JUN,2.9
2013 JUL,2.8
2013 AUG,2.7
2013 SEP,2.7
2013 OCT,2.2
2013 NOV,2.1
2013 DEC,2
2014 JAN,1.9
2014 FEB,1.7
2014 MAR,1.6
2014 APR,1.8
2014 MAY,1.5
2014 JUN,1.9
2014 JUL,1.6
2014 AUG,1.5
2014 SEP,1.2
2014 OCT,1.3
2014 NOV,1
2014 DEC,0.5
2015 JAN,0.3
2015 FEB,0
2015 MAR,0
2015 APR,-0.1
2015 MAY,0.1
2015 JUN,0
2015 JUL,0.1
2015 AUG,0
2015 SEP,-0.1
2015 OCT,-0.1
2015 NOV,0.1
2015 DEC,0.2
2016 JAN,0.3
2016 FEB,0.3
2016 MAR,0.5
2016 APR,0.3
2016 MAY,0.3
2016 JUN,0.5
2016 JUL,0.6
2016 AUG,0.6
2016 SEP,1
2016 OCT,0.9
2016 NOV,1.2
2016 DEC,1.6
2017 JAN,1.8
